Human Timestamp,Unix Time,Microseconds,System Failure,Accelerometer Failure,Gyroscope Failure,Magnetometer Failure,Pressure Failure,GNSS Failure,Accelerometer Overrange,Gyroscope Overrange,Magnetometer Overrange,Pressure Overrange,Minimum Temperature,Maximum Temperature,Low Voltage,High Voltage,GNSS Antenna Disconnected,Data Overflow,Orientation Ready,Navigation Ready,Heading Ready,Time Ready,GNSS Fix Type,Event 1 Flag,Event 2 Flag,Internal GNSS Enabled,Magnetic Heading Enabled,Velocity Heading Enabled,Atmospheric Altitude Enabled,External Position Active,External Velocity Active,External Heading Active
Sat Apr 10 16:55:38 CST 2021,1618044938,358000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:55:39 CST 2021,1618044939,358000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:55:40 CST 2021,1618044940,387000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:55:41 CST 2021,1618044941,398000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:55:42 CST 2021,1618044942,419000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:55:43 CST 2021,1618044943,443000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:55:44 CST 2021,1618044944,459000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:55:45 CST 2021,1618044945,478000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:55:46 CST 2021,1618044946,501000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:55:47 CST 2021,1618044947,529000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:55:48 CST 2021,1618044948,541000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:55:49 CST 2021,1618044949,578000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:55:50 CST 2021,1618044950,593000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:55:51 CST 2021,1618044951,609000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:55:52 CST 2021,1618044952,621000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:55:53 CST 2021,1618044953,655000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:55:54 CST 2021,1618044954,683000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:55:55 CST 2021,1618044955,710000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:55:56 CST 2021,1618044956,718000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:55:57 CST 2021,1618044957,730000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:55:58 CST 2021,1618044958,770000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:55:59 CST 2021,1618044959,790000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:56:00 CST 2021,1618044960,810000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:56:01 CST 2021,1618044961,830000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:56:02 CST 2021,1618044962,850000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:56:03 CST 2021,1618044963,874000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:56:04 CST 2021,1618044964,891000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:56:05 CST 2021,1618044965,925000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:56:06 CST 2021,1618044966,942000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:56:07 CST 2021,1618044967,969000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:56:08 CST 2021,1618044968,995000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:56:10 CST 2021,1618044970,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:56:11 CST 2021,1618044971,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:56:12 CST 2021,1618044972,48000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:56:13 CST 2021,1618044973,80000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:56:14 CST 2021,1618044974,78000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:56:15 CST 2021,1618044975,108000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:56:16 CST 2021,1618044976,137000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:56:17 CST 2021,1618044977,143000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:56:18 CST 2021,1618044978,179000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:56:19 CST 2021,1618044979,191000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:56:20 CST 2021,1618044980,208000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:56:21 CST 2021,1618044981,226000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:56:22 CST 2021,1618044982,249000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:56:23 CST 2021,1618044983,283000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:56:24 CST 2021,1618044984,297000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:56:25 CST 2021,1618044985,319000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:56:26 CST 2021,1618044986,341000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:56:27 CST 2021,1618044987,357000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:56:28 CST 2021,1618044988,385000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:56:29 CST 2021,1618044989,412000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:56:30 CST 2021,1618044990,404000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:56:31 CST 2021,1618044991,421000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:56:32 CST 2021,1618044992,464000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:56:33 CST 2021,1618044993,495000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:56:34 CST 2021,1618044994,491000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:56:35 CST 2021,1618044995,513000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:56:36 CST 2021,1618044996,544000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:56:37 CST 2021,1618044997,582000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:56:38 CST 2021,1618044998,602000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:56:39 CST 2021,1618044999,602000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:56:40 CST 2021,1618045000,628000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:56:41 CST 2021,1618045001,652000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:56:42 CST 2021,1618045002,677000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:56:43 CST 2021,1618045003,710000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:56:44 CST 2021,1618045004,727000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:56:45 CST 2021,1618045005,731000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:56:46 CST 2021,1618045006,757000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:56:47 CST 2021,1618045007,791000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:56:48 CST 2021,1618045008,820000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:56:49 CST 2021,1618045009,844000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:56:50 CST 2021,1618045010,875000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:56:51 CST 2021,1618045011,890000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:56:52 CST 2021,1618045012,896000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:56:53 CST 2021,1618045013,914000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:56:54 CST 2021,1618045014,955000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:56:55 CST 2021,1618045015,977000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:56:56 CST 2021,1618045016,995000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:56:58 CST 2021,1618045018,24000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:56:59 CST 2021,1618045019,38000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:57:00 CST 2021,1618045020,80000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:57:01 CST 2021,1618045021,95000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:57:02 CST 2021,1618045022,112000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:57:03 CST 2021,1618045023,135000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:57:04 CST 2021,1618045024,169000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:57:05 CST 2021,1618045025,189000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:57:06 CST 2021,1618045026,202000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:57:07 CST 2021,1618045027,234000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:57:08 CST 2021,1618045028,245000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:57:09 CST 2021,1618045029,290000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:57:10 CST 2021,1618045030,299000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:57:11 CST 2021,1618045031,326000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:57:12 CST 2021,1618045032,347000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:57:13 CST 2021,1618045033,369000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:57:14 CST 2021,1618045034,396000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:57:15 CST 2021,1618045035,403000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:57:16 CST 2021,1618045036,413000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:57:17 CST 2021,1618045037,438000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:57:18 CST 2021,1618045038,473000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:57:19 CST 2021,1618045039,502000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:57:20 CST 2021,1618045040,511000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:57:21 CST 2021,1618045041,541000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:57:22 CST 2021,1618045042,571000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:57:23 CST 2021,1618045043,585000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:57:24 CST 2021,1618045044,625000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:57:25 CST 2021,1618045045,636000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:57:26 CST 2021,1618045046,666000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:57:27 CST 2021,1618045047,680000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:57:28 CST 2021,1618045048,701000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:57:29 CST 2021,1618045049,713000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:57:30 CST 2021,1618045050,761000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:57:31 CST 2021,1618045051,782000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:57:32 CST 2021,1618045052,808000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
